No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2,,,
7,3,2,11.05055556,1.933333333,1319,-116.966204,32.505984,-116.979177,32.510037,0.066666667,INCREMENTO,1,,,
1,3,2,15.46277778,11.36666667,8764,-116.936466,32.384061,-116.94339,32.403006,-4.5,DP,2,,,
2,3,2,19.03555556,4.916666667,1376,-116.885752,32.460417,-116.885793,32.460485,-4.733333333,DP,2,,,
7,3,2,20.27861111,1.816666667,246,-117.020239,32.526821,-117.022252,32.528234,2.183333333,INCREMENTO,1,,,
2,3,2,20.92222222,1.983333333,384,-116.88457,32.44858,-116.885057,32.44809,0.2,INCREMENTO,1,,,
4,3,2,20.99611111,4.45,1489,-116.918182,32.49737,-116.902778,32.499377,-2.45,DP,2,,,
3,3,2,21.3325,11.56666667,9629,-116.953413,32.502059,-116.885072,32.448804,-0.566666667,INCREMENTO,1,,,
1,3,2,22.10166667,48.5,14451,-116.875617,32.439529,-116.969763,32.508308,-30.5,DM,3,,,
2,3,2,22.4575,26.06666667,20580,-116.849043,32.468587,-116.955602,32.390532,-9.916666667,DM,3,,,
1,4,2,10.69194444,4.683333333,1958,-116.873324,32.473467,-116.868771,32.487672,-0.683333333,INCREMENTO,1,,,
3,4,2,10.7125,116.6333333,77291,-116.754293,32.310118,-116.868521,32.494242,-50.75,DM,3,,,
1,4,2,11.70805556,14.06666667,6171,-116.868854,32.493078,-116.824146,32.484822,-2.133333333,DP,2,,,
4,4,2,11.68444444,4.333333333,4009,-116.918823,32.461423,-116.885198,32.4481,-0.666666667,INCREMENTO,1,,,
3,4,2,15.31555556,13,3674,-116.881575,32.491889,-116.916678,32.498283,-8,DM,3,,,
3,4,2,15.74916667,5.233333333,4367,-116.963729,32.509689,-116.939886,32.491602,-3.233333333,DP,2,,,
2,4,2,17.78222222,14.78333333,12075,-117.010097,32.525388,-116.92551,32.468227,-2.166666667,DP,2,,,
6,4,2,19.20722222,3.583333333,939,-116.972085,32.512065,-116.969735,32.508337,0.5,INCREMENTO,1,,,
3,4,2,19.48111111,35.31666667,10225,-116.86861,32.496742,-116.906837,32.474575,-24.38333333,DM,3,,,
3,4,2,20.99888889,49.65,21444,-116.963108,32.520426,-116.819819,32.484217,-1.633333333,INCREMENTO,1,,,
1,4,2,22.22805556,35.53333333,6264,-116.914832,32.498439,-116.969766,32.508313,-22.53333333,DM,3,,,
8,5,2,8.846111111,11.86666667,5048,-117.083726,32.533393,-117.086929,32.503124,-1.933333333,DP,2,,,
2,5,2,13.18777778,1.516666667,805,-116.873603,32.46794,-116.873232,32.475197,-0.516666667,INCREMENTO,1,,,
1,5,2,13.99611111,4.966666667,973,-116.835337,32.523745,-116.825348,32.523035,0.033333333,INCREMENTO,1,,,
4,5,2,16.02611111,11.61666667,4273,-116.87283,32.478413,-116.884622,32.44871,1,INCREMENTO,1,,,
4,5,2,17.25416667,30.78333333,18604,-116.96674,32.426058,-117.009988,32.525463,-2.783333333,DP,2,,,
4,5,2,19.37361111,12.46666667,10443,-116.885265,32.448285,-116.957973,32.507,-2.116666667,DP,2,,,
