No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2
4,3,3,1.833333333,1.333333333,179,-116.850033,32.504492,-116.849627,32.505985,0.666666667,INCREMENTO,1
2,3,3,8.05,19.36666667,8768,-116.885263,32.448297,-116.949348,32.459438,-5.366666667,DP,2
6,3,3,11.61666667,14.56666667,8232,-116.933495,32.546418,-116.987268,32.513225,-0.566666667,INCREMENTO,1
2,3,3,13.7,17.18333333,9830,-116.845132,32.469928,-116.885118,32.4481,-4.183333333,DP,2
5,3,3,14.6,4.966666667,4657,-117.005458,32.520328,-116.964061,32.506773,1.033333333,INCREMENTO,1
4,3,3,15.58333333,27.16666667,6388,-116.82699,32.456633,-116.885123,32.44809,-14.16666667,DM,3
5,3,3,16,15.21666667,3915,-116.964894,32.501546,-116.956299,32.4819,-3.216666667,DP,2
6,3,3,16.36666667,2.166666667,732,-116.924167,32.54658,-116.921078,32.548878,1.833333333,INCREMENTO,1
4,3,3,16.41666667,21.95,5814,-116.945623,32.502855,-116.948288,32.467455,-3.95,DP,2
5,3,3,16.83333333,13.33333333,3343,-116.931772,32.483215,-116.948838,32.481384,10.66666667,INCREMENTO,1
6,3,3,17.31666667,20.91666667,11931,-117.010032,32.52549,-116.917353,32.496427,1.083333333,INCREMENTO,1
2,3,3,19.1,1.916666667,232,-117.01014,32.525495,-117.009847,32.526502,0.083333333,INCREMENTO,1
2,3,3,21.3,15.16666667,1858,-116.985543,32.507775,-116.970722,32.501335,-8.166666667,DM,3
6,3,3,22.5,20.46666667,9129,-116.89968,32.529382,-116.969715,32.508327,-11.46666667,DM,3
4,4,3,8.05,3.55,1834,-116.86831,32.44375,-116.886323,32.444742,-0.55,INCREMENTO,1
6,4,3,9,0.9,338,-116.983978,32.516995,-116.984587,32.519643,0.1,INCREMENTO,1
4,4,3,9.2,14.85,16055,-116.884908,32.448672,-117.01005,32.525512,1.15,INCREMENTO,1
5,4,3,12.1,23.03333333,10215,-117.004501,32.458975,-117.010015,32.52545,-9.033333333,DM,3
6,4,3,14.61666667,6.15,2179,-116.919643,32.500345,-116.926435,32.488472,-2.15,DP,2
5,4,3,14.71666667,3.75,741,-116.972014,32.502553,-116.974237,32.506598,2.25,INCREMENTO,1
6,4,3,15.8,14.63333333,4967,-116.963917,32.506935,-116.924355,32.504895,-6.633333333,DP,2
5,4,3,15.86666667,4.7,2576,-116.963216,32.515194,-116.985633,32.521263,2.3,INCREMENTO,1
6,4,3,16.88333333,12.68333333,5366,-116.964763,32.506407,-116.993498,32.486995,-1.683333333,INCREMENTO,1
4,4,3,19.1,0.483333333,437,-116.891998,32.456418,-116.88887,32.453615,2.516666667,INCREMENTO,1
5,4,3,21.66666667,16.41666667,3402,-116.965296,32.505995,-116.988519,32.515455,-11.41666667,DM,3
5,4,3,22.91666667,5.2,2036,-116.927746,32.490141,-116.926806,32.476209,-1.2,INCREMENTO,1
6,5,3,0.7,12.03333333,6472,-117.010072,32.525513,-116.963938,32.506953,-3.033333333,DP,2
2,5,3,13.01666667,6.55,4528,-116.937298,32.491457,-116.963948,32.506857,1.45,INCREMENTO,1
