No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2
1,1,1,9.854166667,13.37833333,10303,-116.88975,32.455115,-116.948734,32.498086,-2.445000003,DP,2
4,1,1,13.79138889,4.193333333,1223.1,-116.87713,32.502443,-116.88705,32.503522,-2.226666666,DP,2
6,1,1,14.76777778,15.29666667,4878.9,-116.989852,32.481208,-116.962763,32.5035,-8.13,DM,3
4,1,1,15.29833333,6.073333333,4937.2,-116.9627,32.515113,-117.009988,32.525473,-1.256666666,INCREMENTO,1
7,1,1,16.59055556,5.575,3139.2,-116.976136,32.491838,-116.997058,32.483616,-1.575,INCREMENTO,1
7,1,1,18.00527778,0.436666667,101.6,-116.935549,32.542503,-116.934465,32.542546,0.563333333,INCREMENTO,1
6,1,1,18.3625,1.253333333,260.4,-116.96879,32.48736,-116.968045,32.488525,0.746666667,INCREMENTO,1
6,1,1,19.52944444,11.195,5275,-116.941663,32.510727,-116.92439,32.540662,-1.428333333,INCREMENTO,1
6,1,1,20.45305556,15.23666667,9176.7,-117.010563,32.523538,-116.935635,32.49549,-1.669999997,INCREMENTO,1
5,1,1,21.01694444,15.165,9458.7,-116.916001,32.460922,-116.969851,32.508286,-6.215,DP,2
7,1,1,21.19638889,6.135,1492.8,-116.923606,32.54177,-116.929895,32.544172,2.865,INCREMENTO,1
6,1,1,21.66694444,0.613333333,109.3,-116.97257,32.46539,-116.97328,32.465038,0.886666667,INCREMENTO,1
5,1,1,22.09472222,13.5,5739.6,-116.941569,32.386057,-116.964107,32.412108,0.51666667,INCREMENTO,1
2,1,1,22.16694444,3.116666667,880.3,-116.962992,32.505503,-116.96988,32.508355,-0.783333334,INCREMENTO,1
2,2,1,0.396666667,2.35,981.9,-116.890475,32.455598,-116.885072,32.448118,-0.733333333,INCREMENTO,1
1,2,1,0.760277778,16.64666667,10710.1,-116.790658,32.471267,-116.884726,32.448679,-5.646666667,DP,2
4,2,1,9.305277778,2.06,277.4,-116.914187,32.46468,-116.91172,32.463312,-1.06,INCREMENTO,1
5,2,1,10.06527778,6.091666667,2415.6,-116.961199,32.486451,-116.971622,32.467644,-3.091666667,DP,2
6,2,1,10.97777778,13.10166667,6450.1,-117.01005,32.525492,-116.963973,32.506873,-4.001666667,DP,2
3,2,1,11.95916667,28.89,15488.8,-116.868167,32.496932,-117.00994,32.525682,-14.04,DM,3
6,2,1,12.10666667,14.535,6944.9,-116.999308,32.473648,-117.033463,32.470427,2.79833333,INCREMENTO,1
3,2,1,13.72,1.026666667,375.6,-117.013284,32.516446,-117.010588,32.514137,-0.026666667,INCREMENTO,1
6,2,1,13.80583333,8.876666667,8295.7,-116.900233,32.530843,-116.963835,32.516653,5.273333333,INCREMENTO,1
1,2,1,13.8575,3.861666667,760.1,-116.901696,32.506503,-116.905023,32.508509,1.138333333,INCREMENTO,1
6,2,1,15.75277778,10.11,4850.4,-116.966467,32.499012,-116.984422,32.520473,-0.926666667,INCREMENTO,1
1,2,1,16.6525,16.5,7311.6,-116.871195,32.497723,-116.884728,32.448679,-6.5,DM,3
6,2,1,16.9025,3.375,980.8,-117.010542,32.520382,-117.00307,32.51846,-0.125,INCREMENTO,1
5,2,1,18.6025,5.791666667,3624.8,-116.935827,32.488889,-116.961972,32.511374,1.208333333,INCREMENTO,1
4,2,1,19.21722222,8.388333333,5195,-116.670855,32.549098,-116.632257,32.557565,0.161666667,INCREMENTO,1
7,2,1,20.18111111,20.63,13601.7,-116.926371,32.457079,-117.010035,32.525479,-8.63,DM,3
5,2,1,20.36694444,8.313333333,4517.9,-117.00173,32.517868,-116.9698,32.508327,-0.313333333,INCREMENTO,1
1,2,1,20.69583333,3.49,853.2,-116.870011,32.49957,-116.866353,32.504627,-1.49,INCREMENTO,1
1,2,1,21.06138889,2.735,970.7,-116.869985,32.500204,-116.868844,32.494221,-0.735,INCREMENTO,1
4,2,1,22.51305556,6.47,1888.1,-116.962513,32.510423,-116.96975,32.508327,-2.97,DP,2
6,3,1,9.7475,8.945,2895.4,-116.964107,32.506862,-116.954128,32.49207,-1.845,INCREMENTO,1
6,3,1,13.01388889,24.405,7789.6,-116.963953,32.506902,-116.964898,32.460212,-11.92166667,DM,3
5,3,1,13.16333333,16.63333333,6385.5,-116.989251,32.472107,-116.956711,32.498988,-7.633333333,DM,3
6,3,1,14.7175,15.76833333,4417,-116.975887,32.473215,-116.96592,32.49883,4.731666667,INCREMENTO,1
5,3,1,14.94111111,9.086666667,2795.9,-117.029544,32.533158,-117.010097,32.525583,-3.086666667,DP,2
